BeanCount,rms_db,shake_rate_bpm
256,-33.08009,73.77049
256,-22.655529,73.77049
256,-17.360989,73.77049
256,-15.954078,73.77049
256,-14.032329,74.816025
256,-12.088868,75.891624
256,-10.196284,76.998604
256,-8.954917,78.13834
256,-9.029843,79.31233
256,-10.093066,80.52215
256,-11.429593,81.76944
256,-12.297069,83.05598
256,-11.099278,84.38365
256,-11.1712885,85.754456
256,-10.667155,87.170525
256,-12.156295,88.63416
256,-13.625075,90.14778
256,-17.408272,91.714
256,-19.861134,93.3356
256,-23.0307,95.01558
256,-22.83112,96.75714
256,-22.449612,98.56373
256,-22.68523,100.43908
256,-21.506207,102.38717
256,-21.628654,104.41232
256,-18.452473,106.51921
256,-16.756413,108.712875
256,-14.232839,110.99878
256,-12.734302,113.3829
256,-12.204221,115.87167
256,-12.199992,118.47216
256,-13.954757,121.192055
256,-16.51899,124.03977
256,-21.032219,127.02452
256,-23.380337,130.15648
256,-23.22905,133.44678
256,-22.684395,136.90773
256,-21.425571,140.553
256,-18.959362,144.39769
256,-18.198353,148.45862
256,-17.237236,152.7546
256,-17.782036,157.3066
256,-18.738083,162.13821
256,-19.88607,167.27605
256,-20.108635,172.75015
256,-17.838703,178.59467
256,-17.225376,184.84848
256,-16.699318,191.55617
256,-18.645508,198.76901
256,-19.975082,206.54628
256,-22.997295,214.95692
256,-23.390907,224.08163
256,-23.614262,234.01535
256,-21.536892,244.87065
256,-19.025406,256.78204
256,-17.746452,269.9115
256,-16.990025,284.45596
256,-17.567589,300.65717
256,-17.725426,318.81534
256,-17.848454,339.30777
256,-17.119648,362.6156
256,-17.69128,389.3617
256,-12.727355,420.36752
256,-10.549609,456.73877
256,-9.416064,500.0
256,-9.493386,194.71153
256,-11.315097,120.89552
256,-13.127913,87.66234
256,-14.247354,68.76061
256,-16.334484,56.564247
256,-18.73463,48.042706
256,-17.506813,41.75258
256,-14.3081045,36.91887
256,-13.171123,33.088234
256,-12.670369,33.317
256,-11.325009,33.548954
256,-10.6655,33.784157
256,-10.741563,34.022682
256,-12.345099,34.2646
256,-15.780263,34.509983
256,-17.189266,34.758904
256,-12.281852,35.011444
256,-10.191674,35.267677
256,-8.362529,35.52769
256,-8.566901,35.79157
256,-7.597022,36.05939
256,-7.96741,36.331257
256,-8.67706,36.60725
256,-9.702022,36.887466
256,-14.086137,37.172012
256,-13.881982,37.46098
256,-13.984927,37.754475
256,-13.610652,38.0526
256,-12.734048,38.355476
256,-11.695149,38.663216
256,-10.093169,38.975925
256,-10.64709,39.293743
256,-12.323428,39.61678
256,-14.051417,39.94517
256,-13.299148,40.279057
256,-11.778739,40.61857
256,-8.6973715,40.963856
256,-6.340419,41.31506
256,-5.958066,41.67234
256,-6.3323603,42.035854
256,-8.133868,42.405766
256,-10.269488,42.78224
256,-14.561854,43.165466
256,-16.69617,43.55562
256,-16.54908,43.95289
256,-11.567094,44.357468
256,-10.224666,44.769566
256,-8.239001,45.189396
256,-7.6586504,45.617172
256,-8.362401,46.053127
256,-8.662662,46.497494
256,-10.433564,46.950516
256,-11.185401,47.412457
256,-13.8777685,47.883575
256,-11.72034,48.364155
256,-7.9018183,48.854473
256,-5.111039,49.354836
256,-3.971507,49.86556
256,-3.9621668,50.38696
256,-5.1808023,50.91938
256,-7.195718,51.46317
256,-11.068183,52.018696
256,-14.792739,52.586357
256,-16.270718,53.166534
256,-16.758926,53.759666
256,-15.358096,54.366173
256,-14.680264,54.986523
256,-13.9341135,55.621197
256,-11.775382,56.270687
256,-11.612752,56.93553
256,-12.072881,57.61627
256,-14.95465,58.31348
256,-17.230637,59.02778
256,-18.035198,59.75979
256,-16.83118,60.510185
256,-14.374728,61.279663
256,-10.025619,62.068966
256,-9.680467,62.878864
256,-9.307771,63.710182
256,-10.624007,64.563774
256,-11.315715,65.44055
256,-12.859361,66.34146
256,-19.297073,67.26753
256,-21.764782,68.21982
256,-20.138596,69.199455
256,-19.20168,70.20764
256,-17.106964,71.245636
256,-16.011032,72.31478
256,-14.622748,73.416504
256,-14.215003,74.55232
256,-13.06446,75.72383
256,-14.082513,76.93275
256,-14.9490385,78.180885
256,-16.696632,79.4702
256,-13.511027,80.80275
256,-9.111047,82.18074
256,-8.488839,83.60655
256,-7.196782,85.08272
256,-8.26662,86.611946
256,-9.01896,88.19715
256,-12.217267,89.84145
256,-13.452298,91.54824
256,-15.986112,93.32114
256,-15.788339,95.16405
256,-15.547648,97.08122
256,-16.447765,99.07722
256,-17.252312,101.15702
256,-18.003246,103.32602
256,-18.738644,105.590065
256,-21.035282,107.95555
256,-21.337673,110.42944
256,-20.932343,113.01939
256,-12.638778,115.73374
256,-11.548703,118.58167
256,-8.091449,121.5733
256,-8.302018,124.71979
256,-8.347068,128.03348
256,-10.537658,131.52805
256,-14.296525,135.21873
256,-15.975638,139.12253
256,-17.656147,143.25842
256,-17.909023,147.64777
256,-18.846695,152.31459
256,-18.336224,157.28604
256,-17.149323,162.59299
256,-17.046043,168.27055
256,-17.622967,174.35898
256,-20.344261,180.90451
256,-19.610786,187.9607
256,-19.107582,195.58966
256,-15.270579,203.86409
256,-13.847901,212.86957
256,-9.663203,222.70741
256,-8.769338,233.49867
256,-8.480987,245.38893
256,-8.031661,258.55515
256,-9.454833,273.2143
256,-10.267739,289.6356
256,-10.756812,308.1571
256,-17.281338,329.20926
256,-18.249184,353.34872
256,-18.775661,381.3084
256,-14.144561,414.07306
256,-12.704276,452.99777
256,-11.772313,500.0
256,-12.073819,358.40707
256,-9.288985,279.31036
256,-8.478023,228.81355
256,-8.538196,193.7799
256,-10.933854,168.04979
256,-13.778007,148.35164
256,-10.706607,132.78688
256,-6.966876,120.17804
256,-4.4121294,109.756096
256,-3.1292048,111.88599
256,-2.7747908,114.10019
256,-3.6201353,116.403786
256,-4.7888117,118.80232
256,-6.815419,121.30177
256,-9.233916,123.90867
256,-13.432086,126.630066
256,-14.737597,129.47368
256,-15.209477,132.44795
256,-13.612681,135.56209
256,-11.448705,138.82619
256,-10.517501,142.25136
256,-8.78984,145.84981
256,-8.172145,149.63504
256,-7.2116156,153.622
256,-7.651698,157.82721
256,-9.851802,162.26913
256,-12.384248,166.96834
256,-10.912492,171.94781
256,-9.03802,177.23343
256,-7.7713327,182.85431
256,-7.673934,188.8434
256,-8.538039,195.2381
256,-11.2108965,202.08104
256,-14.617824,209.42111
256,-17.499924,217.31448
256,-19.213566,225.82619
256,-17.497158,235.03185
256,-12.851649,245.01991
256,-11.729812,255.89459
256,-9.975316,267.7794
256,-9.730697,280.8219
256,-9.450086,295.2
256,-10.469644,311.12985
256,-12.517764,328.87698
256,-12.719771,348.77127
256,-12.695481,371.2274
256,-12.061435,396.77417
256,-7.463294,426.097
256,-6.149699,460.09976
256,-3.9090319,500.0
256,-4.54659,487.95178
256,-5.0503225,476.47058
256,-6.85336,465.51724
256,-9.346625,455.05618
256,-11.064673,445.05496
256,-15.200194,435.4839
256,-9.740874,426.3158
256,-8.2912,417.5258
256,-6.5857477,409.0909
256,-5.413371,380.76923
256,-6.736264,356.1151
256,-7.622813,334.45947
256,-9.871991,315.28662
256,-11.912414,298.19278
256,-13.957429,282.85715
256,-15.057895,269.02176
256,-14.906459,256.47668
256,-12.6759,245.0495
256,-7.733062,234.59717
256,-6.0260324,224.99998
256,-4.2358866,214.79715
256,-4.8475084,205.47946
256,-5.0858717,196.93654
256,-7.004245,189.07562
256,-9.05606,181.81818
256,-14.519048,175.09727
256,-16.245861,168.85553
256,-15.563838,163.04347
256,-13.520789,157.61821
256,-12.382098,152.54237
256,-11.723477,147.78325
256,-11.771895,143.3121
256,-12.253919,139.10356
256,-13.869756,135.13513
256,-14.151839,131.38686
256,-17.18557,127.84091
256,-17.45763,124.48133
256,-13.063659,121.2938
256,-6.9593725,118.26544
256,-5.322755,115.38462
256,-5.1425505,115.38462
256,-6.8280077,115.38462
256,-9.820302,115.38462
256,-11.913337,115.38462
256,-15.567103,115.38462
256,-18.97194,115.38462
256,-19.495358,115.38462
256,-17.327251,115.38462
256,-14.664929,115.38462
256,-13.961341,115.38462
256,-13.917325,115.38462
256,-14.553849,115.38462
256,-13.796308,115.38462
256,-13.177896,115.38462
256,-13.623776,115.38462
256,-14.721007,115.38462
256,-12.738734,115.38462
256,-9.467645,115.38462
256,-7.503724,115.38462
256,-7.6067038,115.38462
256,-8.157256,115.38462
256,-10.324605,115.38462
256,-11.475692,115.38462
256,-12.165677,115.38462
256,-15.19893,115.38462
256,-15.959342,115.38462
256,-14.702611,115.38462
256,-14.565236,115.38462
256,-14.579064,115.38462
256,-13.91056,115.38462
256,-13.80675,115.38462
256,-13.947562,115.38462
256,-14.962792,115.38462
256,-15.6695795,115.38462
256,-16.574505,115.38462
256,-17.431923,115.38462
256,-13.769294,115.38462
256,-9.491103,115.38462
256,-8.466285,115.38462
256,-7.88054,116.84421
256,-9.901898,118.3412
256,-10.855458,119.877045
256,-12.428624,121.453285
256,-16.477493,123.071526
256,-17.61396,124.733475
256,-18.55489,126.44092
256,-17.62592,128.19577
256,-17.149982,130.0
256,-16.338684,131.85574
256,-17.66272,133.76524
256,-18.558151,135.73085
256,-17.785625,137.75511
256,-18.367355,139.84064
256,-18.640228,141.9903
256,-21.204582,144.20706
256,-15.356393,146.49416
256,-12.358689,148.85497
256,-10.452716,151.2931
256,-9.133891,153.81245
256,-8.90762,156.41711
256,-8.485436,159.11151
256,-9.821647,161.90038
256,-11.876597,164.78873
256,-15.712447,167.78203
256,-18.004787,170.88608
256,-17.802032,174.10715
256,-18.895432,177.45197
256,-18.802605,180.92783
256,-20.294971,184.54259
256,-20.729599,188.30472
256,-20.403645,192.22345
256,-18.296516,196.30873
256,-17.502918,200.57143
256,-17.292725,205.02336
256,-19.07536,209.67741
256,-12.989228,214.54768
256,-11.522094,219.64957
256,-9.935945,224.99998
256,-10.550044,224.99998
256,-11.656632,224.99998
256,-13.844733,224.99998
256,-16.591465,224.99998
256,-19.057583,224.99998
256,-19.892902,224.99998
256,-20.089264,224.99998
256,-19.565403,224.99998
256,-16.037762,224.99998
256,-15.345376,224.99998
256,-15.038608,224.99998
256,-17.087177,224.99998
256,-17.89569,224.99998
256,-17.158401,224.99998
256,-17.02266,224.99998
256,-16.752644,224.99998
256,-17.527096,224.99998
256,-9.606696,224.99998
256,-6.957301,224.99998
256,-5.2908697,224.99998
256,-4.8883543,214.79715
256,-5.4995565,205.47946
256,-6.531636,196.93654
256,-7.2568045,189.07562
256,-9.753516,181.81818
256,-12.269853,175.09727
256,-12.712352,168.85553
256,-13.219192,163.04347
256,-13.346061,157.61821
256,-14.250667,152.54237
256,-12.863814,147.78325
256,-11.221477,143.3121
256,-10.680041,139.10356
256,-10.996736,135.13513
256,-12.1558695,131.38686
256,-12.9588995,127.84091
256,-13.247201,124.48133
256,-9.553775,121.2938
256,-6.560878,118.26544
256,-3.9017115,115.38462
256,-3.6715403,116.22516
256,-4.331525,117.07805
256,-7.008271,117.94355
256,-10.17406,118.82194
256,-13.179736,119.71351
256,-14.252395,120.61855
256,-13.823703,121.5374
256,-12.647693,122.47034
256,-11.510119,123.417725
256,-10.525434,124.37987
256,-8.207412,125.35714
256,-7.540086,126.34989
256,-6.858205,127.35849
256,-8.174233,128.38332
256,-9.530883,129.42477
256,-13.3415,130.48328
256,-10.509141,131.55922
256,-5.7875414,132.65306
256,-2.7850533,133.76524
256,-1.0075464,134.89624
256,-0.6896343,136.04651
256,-1.685523,137.21658
256,-3.9187422,138.40694
256,-7.243186,139.61813
256,-9.528138,140.85072
256,-13.93377,142.10526
256,-15.627248,143.38235
256,-14.685229,144.6826
256,-13.0684,146.00665
256,-11.406978,147.35516
256,-10.617631,148.7288
256,-10.382371,150.12831
256,-11.318294,151.5544
256,-12.495704,153.00784
256,-14.768561,154.48944
256,-16.146347,156.0
256,-13.300813,157.54039
256,-10.066588,159.11151
256,-7.9733686,160.71428
256,-7.5767374,156.91158
256,-8.3950205,153.28468
256,-10.890891,149.82164
256,-13.148562,146.51163
256,-17.168182,143.34471
256,-19.31036,140.31181
256,-20.329376,137.40459
256,-18.020592,134.61539
256,-14.240821,131.93718
256,-12.707339,129.36345
256,-11.173022,126.888214
256,-10.785277,124.50593
256,-10.346675,122.21145
256,-10.885169,120.0
256,-11.759191,117.867165
256,-13.354772,115.80882
256,-14.6261015,113.82114
256,-13.211535,111.900536
256,-12.506648,110.04367
256,-12.615674,108.24742
256,-13.932715,106.50887
256,-15.17652,104.82529
256,-16.061039,103.1941
256,-17.472485,101.6129
256,-21.205063,100.07943
256,-17.34388,98.59155
256,-16.512104,97.14726
256,-15.853267,95.74468
256,-18.402874,96.92942
256,-19.032303,98.14385
256,-19.70174,99.3891
256,-20.297138,100.66634
256,-19.559326,101.97686
256,-20.432121,103.32194
256,-18.955994,104.702965
256,-17.873024,106.12143
256,-17.837082,107.57884
256,-17.527954,109.07684
256,-18.478539,110.61716
256,-19.777256,112.20159
256,-22.723343,113.83208
256,-25.722088,115.51065
256,-26.094055,117.23947
256,-25.983944,119.02082
256,-25.857216,120.85714
256,-26.75814,122.751015
256,-25.538704,124.70519
256,-23.685955,126.72259
256,-23.372818,128.80634
256,-23.966854,130.95975
256,-23.51373,133.1864
256,-22.541054,135.49007
256,-19.994373,137.87483
256,-18.913616,140.34505
256,-18.104492,142.90541
256,-17.73663,145.56091
256,-18.088242,148.31697
256,-15.424441,151.17941
256,-16.055218,154.15453
256,-16.300034,157.24907
256,-23.512325,160.47041
256,-25.102024,163.82649
256,-21.954788,167.32594
256,-21.27459,170.97816
256,-19.735748,174.7934
256,-18.441746,178.78275
256,-16.501083,182.95848
256,-15.943824,187.33392
256,-15.712203,191.92377
256,-16.065174,196.74419
256,-17.45715,201.81299
256,-19.095581,207.14984
256,-13.313939,212.77666
256,-8.125731,218.71768
256,-6.8837957,224.99998
256,-6.8260393,214.79715
256,-8.58179,205.47946
256,-9.680846,196.93654
256,-10.957488,189.07562
256,-11.767932,181.81818
256,-14.244876,175.09727
256,-15.138587,168.85553
256,-13.889329,163.04347
256,-13.404439,157.61821
256,-10.917432,152.54237
256,-10.855105,147.78325
256,-10.958573,143.3121
256,-13.051787,139.10356
256,-13.749969,135.13513
256,-14.215112,131.38686
256,-14.838656,127.84091
256,-14.459794,124.48133
256,-9.57916,121.2938
256,-2.9563627,118.26544
256,-1.1861258,115.38462
256,0.0,113.2989
256,-1.1680346,111.287254
256,-2.4322176,109.34579
256,-5.097768,107.47091
256,-8.819272,105.65925
256,-11.862348,103.90764
256,-11.681346,102.213165
256,-10.673411,100.57306
256,-10.136411,98.98477
256,-9.647597,97.44587
256,-7.3882284,95.95407
256,-7.029996,94.50727
256,-6.881879,93.10345
256,-9.794326,91.74072
256,-10.994027,90.41731
256,-13.404605,89.13154
256,-12.347846,87.88183
256,-8.519437,86.666664
256,-4.7906275,85.48466
256,-3.5896273,84.33445
256,-3.5624762,83.21479
256,-5.3307447,82.12447
256,-7.807498,81.062355
256,-9.686658,80.02736
256,-13.687224,79.018456
256,-16.241337,78.03468
256,-16.989353,77.0751
256,-15.786757,76.138824
256,-14.285691,75.22504
256,-12.9996805,74.33291
256,-11.899203,73.4617
256,-12.165277,72.61068
256,-12.2977,71.77914
256,-12.643214,70.96644
256,-13.337646,70.17193
256,-14.286418,69.39502
256,-12.23186,68.635124
256,-9.396432,67.891685
256,-7.494853,67.16418
256,-6.2836294,68.02798
256,-6.140353,68.91428
256,-5.733514,69.82399
256,-6.565772,70.75804
256,-7.8257475,71.71741
