BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
4,0.0008557502,-38.652855,0.0,0.0,0.093333334,642.8571
4,0.0022214411,-33.910442,22.51855,0.0,0.093333334,642.8571
4,0.003511197,-31.760437,29.470245,3.0385034,0.093333334,642.8571
4,0.0046458873,-29.590122,33.18137,1.9260932,0.09714286,617.64703
4,0.005591446,-29.736607,39.799366,3.0403862,0.10095238,594.33966
4,0.0063569797,-29.52686,17.04954,2.1069474,0.104761906,572.7273
4,0.006981572,-30.408611,31.363403,0.7432852,0.108571425,552.6316
4,0.0075189946,-26.991203,28.85984,1.6304643,0.11238095,533.8983
4,0.008029032,-24.804394,103.35603,1.2821991,0.11619048,516.39343
4,0.008576647,-23.20047,55.1301,4.205415,0.12,500.0
4,0.009230909,-23.823658,57.41825,1.8839912,0.12,500.0
4,0.010052507,-24.66515,16.357216,1.3382756,0.12,500.0
4,0.011068373,-24.85439,28.570118,0.40744597,0.12,500.0
4,0.012246016,-23.61699,75.7004,0.60697293,0.12,500.0
4,0.013484126,-22.255283,64.818275,2.6597123,0.12,500.0
4,0.014625517,-22.551086,102.35019,2.3142517,0.12,500.0
4,0.015490209,-19.950912,50.882923,2.3196352,0.12,500.0
4,0.015925225,-18.66713,236.06686,1.1316675,0.12,500.0
4,0.01585979,-17.723755,132.9819,3.7820115,0.12,500.0
4,0.0153405545,-19.317192,53.261883,1.8685639,0.11259259,532.8947
4,0.014523729,-21.930328,21.849386,0.5478333,0.10518519,570.42255
4,0.013628247,-21.247196,105.97293,0.3015439,0.09777778,613.63635
4,0.012876614,-21.050236,170.13304,2.3230102,0.09037037,663.9344
4,0.0124473665,-20.781528,24.640802,2.9235919,0.08296296,723.2143
4,0.01244616,-24.434658,27.008366,0.31880283,0.075555556,794.1177
4,0.012898468,-22.936153,35.67948,0.95082486,0.06814815,880.43475
4,0.013770748,-21.894703,166.69095,1.4338971,0.06074074,987.80493
4,0.015020619,-19.231236,118.41682,3.999542,0.053333335,1125.0
4,0.016660027,-19.61103,142.25024,2.9017725,0.053333335,1125.0
4,0.018798422,-13.192848,274.30466,2.457675,0.053333335,1125.0
4,0.02163012,-13.338617,411.4353,2.2326932,0.053333335,1125.0
4,0.025344186,-13.316296,42.90264,3.3312106,0.053333335,1125.0
4,0.029962713,-19.349415,35.84675,0.3360972,0.08,750.0
4,0.03517224,-20.25861,50.413048,0.65294176,0.10666667,562.5
4,0.04025706,-12.994881,255.67949,0.66071784,0.13333334,449.99997
4,0.044213865,-9.561216,651.5519,3.7588544,0.16,375.0
4,0.046038743,-8.427723,532.29254,6.025432,0.15666667,382.97873
4,0.045074265,-8.450356,248.4494,2.553763,0.15333334,391.30435
4,0.041263573,-10.031376,234.90875,0.9576896,0.15,399.99997
4,0.03521121,-11.876209,100.274216,0.94544476,0.14666666,409.0909
4,0.028044414,-15.303347,76.21373,0.5422449,0.14333333,418.60464
4,0.021138372,-17.91791,68.174904,0.4941305,0.14,428.57144
4,0.01579484,-20.810688,44.938248,0.5745865,0.13666667,439.02438
4,0.012955257,-23.13593,39.79832,0.430039,0.13333334,449.99997
4,0.013005532,-25.287342,25.6711,0.33567593,0.13,461.53848
4,0.01570577,-26.98373,30.801287,0.8348037,0.12666667,473.6842
4,0.020259075,-23.892944,70.79167,1.0068275,0.123333335,486.48648
4,0.025513377,-10.599419,239.16325,3.4026313,0.12,500.0
4,0.03025838,-9.587957,1206.3782,4.9530325,0.117037036,512.65826
4,0.0335341,-9.370602,141.8298,6.960726,0.114074074,525.974
4,0.034831304,-11.811708,51.940582,0.90911543,0.11111111,540.0
4,0.034112487,-15.652868,130.55061,0.3829377,0.10814815,554.7945
4,0.031701934,-15.937471,177.86397,1.2474146,0.10518519,570.42255
4,0.028135551,-16.258095,102.544205,1.9298158,0.10222222,586.95654
4,0.024028812,-15.87369,114.23239,0.6325631,0.09925926,604.4776
4,0.019985188,-16.138956,268.71405,1.1576312,0.096296296,623.0769
4,0.016540553,-16.702147,68.48626,3.0472987,0.093333334,642.8571
4,0.014119596,-19.4777,46.103054,0.67359227,0.099047616,605.7692
4,0.012985493,-22.007336,46.474205,0.4921843,0.104761906,572.7273
4,0.013188998,-24.275127,33.37905,0.684314,0.11047619,543.10345
4,0.014541587,-24.232944,59.696236,0.38423353,0.11619048,516.39343
4,0.016639264,-21.152367,82.445175,1.0625961,0.12190476,492.1875
4,0.01895169,-18.581158,208.15454,1.2897737,0.12761904,470.14926
4,0.020969905,-16.288599,208.4161,3.540028,0.13333334,449.99997
4,0.022378925,-14.762554,148.8367,2.4726443,0.13466667,445.54456
4,0.023198377,-14.311108,175.96121,1.4443271,0.136,441.17645
4,0.023836235,-12.22455,278.62976,2.2679617,0.13733333,436.8932
4,0.025018422,-12.373695,417.39053,2.6389246,0.13866666,432.69232
4,0.027575778,-13.455271,56.751778,2.3071973,0.14,428.57144
4,0.032111954,-19.29353,34.731556,0.51333785,0.14133333,424.52832
4,0.038656164,-21.933075,34.61339,0.42301372,0.14266667,420.56073
4,0.04645994,-16.507399,74.60606,0.25935894,0.144,416.6667
4,0.054069407,-8.509895,583.0984,1.5547924,0.14533333,412.84402
4,0.059704512,-5.6644154,983.19336,7.2235813,0.14666666,409.0909
4,0.06182899,-5.314434,725.9053,5.0172033,0.1369697,438.0531
4,0.059669077,-5.6108265,211.3242,3.621505,0.12727273,471.4286
4,0.053453498,-8.340126,428.67963,0.41323236,0.11757576,510.30927
4,0.04431876,-10.281824,83.04488,0.49676263,0.10787879,556.17975
4,0.03397804,-15.095381,83.472115,0.52896196,0.09818182,611.1111
4,0.024298925,-17.30027,62.823273,0.3089846,0.088484846,678.0822
4,0.016914884,-19.758953,61.832066,0.4033828,0.07878788,761.53845
4,0.01294542,-21.984158,44.04653,0.9329654,0.06909091,868.421
4,0.012854225,-21.021671,68.91997,0.8593354,0.05939394,1010.2041
4,0.016441977,-21.581963,179.38084,1.3632896,0.04969697,1207.317
4,0.022953525,-20.073284,13.776926,3.196677,0.04,1500.0
4,0.031271286,-9.409496,341.9938,0.2663375,0.04888889,1227.2727
4,0.040160857,-7.110214,1581.3406,6.9232616,0.057777777,1038.4615
4,0.048508737,-6.7908134,378.90247,9.334434,0.06666667,899.99994
4,0.05545069,-9.4970665,45.40875,0.5743397,0.082666665,725.80646
4,0.06033813,-14.966167,90.06044,0.09770796,0.09866667,608.1081
4,0.06264229,-10.621635,317.89624,0.50380796,0.11466666,523.25586
4,0.06195075,-6.326008,978.1975,2.2009892,0.13066667,459.18365
4,0.05811027,-5.645527,843.254,5.3159995,0.14666666,409.0909
4,0.05141349,-6.418125,88.268585,3.1839633,0.13939394,430.43478
4,0.04266505,-10.606169,138.43085,0.176487,0.1321212,454.12845
4,0.033064965,-13.953327,167.42615,0.2197803,0.124848485,480.58252
4,0.02397332,-15.378658,62.67774,1.2764187,0.11757576,510.30927
4,0.016649177,-19.441006,32.466698,0.23862465,0.11030303,543.95605
4,0.012033396,-21.805264,46.938194,0.28989005,0.1030303,582.35297
4,0.0106134135,-23.626144,50.142666,0.57094884,0.095757574,626.5823
