BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
64,0.00014076821,-80.0,0.0,0.0,0.16,375.0
64,0.00016517195,-80.0,0.0,0.0,0.16,375.0
64,0.00014621824,-80.0,0.0,0.0,0.16,375.0
64,6.883315e-05,-80.0,0.0,0.0,0.16,375.0
64,2.9312193e-07,-80.0,0.0,0.0,0.16,375.0
64,0.0,-80.0,0.0,0.0,0.16,375.0
64,0.0,-80.0,0.0,0.0,0.16,375.0
64,0.0,-80.0,0.0,0.0,0.16,375.0
64,0.0,-80.0,0.0,0.0,0.16,375.0
64,0.0,-80.0,0.0,0.0,0.16,375.0
64,0.00032828262,-80.0,0.0,0.0,0.16,375.0
64,0.001246871,-48.485443,0.14773062,0.0,0.16,375.0
64,0.0024734982,-40.765842,24.464523,0.0,0.16,375.0
64,0.0039132927,-37.642155,31.662767,15.128345,0.16,375.0
64,0.005421465,-33.27141,29.147314,6.8514214,0.16555555,362.4161
64,0.0068357964,-30.162945,53.546627,3.2930782,0.1711111,350.64935
64,0.008022435,-26.911156,56.663925,3.397396,0.17666666,339.62265
64,0.008922723,-25.082588,92.34514,2.1645663,0.18222222,329.2683
64,0.009584147,-23.747807,73.7672,3.049522,0.18777777,319.52664
64,0.010158486,-23.514565,84.278015,1.8494226,0.19333333,310.34485
64,0.010858476,-24.155151,49.347755,1.4882365,0.19888888,301.676
64,0.011879557,-25.55931,27.369246,0.9040545,0.20444444,293.47827
64,0.013310548,-27.002975,34.549923,0.4751792,0.21,285.7143
64,0.015069454,-25.89753,57.838547,0.7500725,0.21555555,278.35052
64,0.016897375,-22.19999,107.96129,1.9587739,0.2211111,271.35678
64,0.018422166,-17.754372,186.01282,2.7773416,0.22666667,264.70587
64,0.01927325,-17.275959,297.839,3.1726313,0.22117648,271.27658
64,0.019203374,-16.72335,82.2715,2.71965,0.21568628,278.18182
64,0.018167462,-18.987175,109.29196,0.7956507,0.21019608,285.44775
64,0.01633297,-20.083431,65.90341,1.0274146,0.20470588,293.10345
64,0.0140291415,-22.86454,39.5251,0.8324445,0.19921568,301.18112
64,0.01166116,-25.480183,25.09443,0.36897188,0.1937255,309.71658
