BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,2.2964464e-07,-80.0,0.0,0.0,0.10666667,562.5
512,9.652726e-07,-80.0,0.0,0.0,0.10666667,562.5
512,1.756627e-06,-80.0,0.0,0.0,0.10666667,562.5
512,2.359113e-06,-80.0,0.0,0.0,0.10666667,562.5
512,2.4807528e-06,-80.0,0.0,0.0,0.10666667,562.5
512,1.8440888e-06,-80.0,0.0,0.0,0.10666667,562.5
512,4.210317e-07,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,3.220773e-06,-80.0,0.0,0.0,0.10666667,562.5
512,1.3215883e-05,-80.0,0.0,0.0,0.10666667,562.5
512,2.3904675e-05,-80.0,0.0,0.0,0.10666667,562.5
512,3.1974007e-05,-80.0,0.0,0.0,0.10666667,562.5
512,3.345774e-05,-80.0,0.0,0.0,0.10666667,562.5
512,2.4596016e-05,-80.0,0.0,0.0,0.10666667,562.5
512,5.3014787e-06,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,3.8120284e-05,-80.0,0.0,0.0,0.10666667,562.5
512,0.00017039641,-80.0,0.0,0.0,0.10666667,562.5
512,0.00031343283,-80.0,0.0,0.0,0.10666667,562.5
512,0.00042334312,-80.0,0.0,0.0,0.10666667,562.5
512,0.000450612,-80.0,0.0,0.0,0.10666667,562.5
512,0.00035234648,-80.0,0.0,0.0,0.10666667,562.5
512,0.00011615172,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-80.0,0.0,0.0,0.10666667,562.5
512,0.0,-39.538315,6.39597,0.0,0.10666667,562.5
512,0.0006643209,-35.225754,57.371803,11.0672455,0.10666667,562.5
512,0.0028492042,-27.441896,65.61394,18.238094,0.111666664,537.3134
512,0.006362399,-25.997942,140.17317,4.7558384,0.11666667,514.2857
512,0.011250428,-25.783625,32.9175,4.863251,0.12166667,493.15067
512,0.01728235,-26.457182,35.654358,1.3474625,0.12666667,473.6842
512,0.02389782,-21.89741,91.29228,0.6295248,0.13166666,455.69623
512,0.030246872,-15.740162,272.979,1.876235,0.13666667,439.02438
512,0.03534473,-11.899887,513.5259,3.935675,0.14166667,423.52942
512,0.03831251,-10.361048,462.76108,5.9901547,0.14666666,409.0909
512,0.038620166,-10.530724,296.48257,2.8429043,0.13818182,434.2105
512,0.036233217,-10.9135,167.01735,0.9220244,0.12969697,462.61685
512,0.031609427,-12.915293,240.44876,0.48885158,0.121212125,495.0
512,0.025564896,-14.990938,83.466484,0.83099,0.11272727,532.25806
512,0.019069832,-19.242113,47.704746,0.5023735,0.10424242,575.5814
512,0.013040169,-23.623945,10.501463,0.96370125,0.095757574,626.5823
512,0.008185064,-28.016836,28.907011,0.04696524,0.087272726,687.5
512,0.004945784,-28.378027,36.330086,0.54855585,0.07878788,761.53845
512,0.0035220184,-25.386194,45.396328,1.2757324,0.07030303,853.4483
