BeanCount,amplitude_envelope
1,0.0016899048
1,0.0006098679
1,0.001979208
1,0.0017045263
1,0.0015831001
1,0.009403922
1,0.016689237
1,0.010980469
1,0.0039247395
1,0.0025274132
1,0.0022556689
1,0.0019853683
1,0.0019877804
1,0.0015534817
1,0.0013834637
1,0.0017968303
1,0.0012354016
1,0.0055503994
1,0.015017605
1,0.011656606
1,0.005738623
1,0.014550844
1,0.017750805
1,0.01277817
1,0.017198304
1,0.019090079
1,0.016856147
1,0.014649162
1,0.009402184
1,0.014453537
1,0.02104519
1,0.012533814
1,0.0051738503
1,0.00502488
1,0.00337056
1,0.0019447259
1,0.013593118
1,0.03403099
1,0.03266225
1,0.015683323
1,0.009018116
1,0.0020574795
1,0.016080175
1,0.0665782
1,0.07186415
1,0.04756862
1,0.05050155
1,0.03774808
1,0.017506536
1,0.011841892
1,0.010620147
1,0.008479236
1,0.0060254983
1,0.005153707
1,0.0071034273
1,0.004359034
1,3.1856893e-05
1,0.023791607
1,0.07336992
1,0.066479035
1,0.035463158
1,0.033724837
1,0.04801558
1,0.042975627
1,0.02905356
1,0.027072163
1,0.02895346
1,0.025351448
1,0.01636206
1,0.010201683
1,0.009106411
1,0.0071406406
1,0.0062835165
1,0.0072408486
1,0.001378885
1,0.009985238
1,0.061642706
1,0.07750418
1,0.039255604
1,0.030428056
1,0.06291385
1,0.07360465
1,0.046822738
1,0.028268974
1,0.021201763
1,0.013837198
1,0.0091736885
1,0.0078667
1,0.0063507776
1,0.0056371656
1,0.0047550774
1,0.0061627543
1,0.014387077
1,0.023357831
1,0.030092387
1,0.025859825
1,0.015537153
1,0.009803122
1,0.0075486144
1,0.007183469
1,0.008266102
1,0.007743756
1,0.0067019104
1,0.0058270297
1,0.006302514
1,0.0074803634
1,0.005474163
1,0.002940566
1,0.005186255
1,0.009128914
1,0.007845811
1,0.0071783103
1,0.0105451755
1,0.010158884
1,0.008780072
1,0.012664743
1,0.01262492
1,0.008112874
1,0.00796097
1,0.012768264
1,0.019069334
1,0.024388172
1,0.024624264
1,0.018639049
1,0.011224783
1,0.006925329
1,0.0047379024
1,0.0035423383
1,0.0030286622
1,0.0025905503
1,0.0023500763
1,0.0022344466
1,0.0041606766
1,0.016401375
1,0.03657385
1,0.030110119
1,0.014677906
1,0.036671266
1,0.056893263
1,0.03978645
1,0.023902752
1,0.030760402
1,0.03295905
1,0.015338923
1,0.0122842
1,0.025816256
1,0.022964643
1,0.009854796
1,0.006342309
1,0.008044936
1,0.0057258257
1,0.00055640884
1,0.008137181
1,0.028806305
1,0.025321601
1,0.010718582
1,0.0052182754
1,0.0005021215
1,0.030450653
1,0.08854878
1,0.07639881
1,0.030504318
1,0.028983666
1,0.047571726
1,0.038751993
1,0.018319597
1,0.010659908
1,0.009103354
1,0.0066616824
1,0.007171332
1,0.008125032
1,0.00070988125
1,0.009835917
1,0.07896202
1,0.107249364
1,0.070443794
1,0.08728181
1,0.12572484
1,0.11055211
1,0.07905317
1,0.073369354
1,0.05167166
1,0.022076862
1,0.01464714
1,0.014108713
1,0.01031053
1,0.0074424893
1,0.0068813814
1,0.006014058
1,0.004961009
1,0.0072464105
1,0.004383313
1,4.8411525e-06
1,0.03333869
1,0.104592964
1,0.09391937
1,0.07887583
1,0.10065836
1,0.08387452
1,0.06851062
1,0.05109247
1,0.026958201
1,0.022595376
1,0.024032926
1,0.016826246
1,0.011279345
1,0.005493108
1,0.010728352
1,0.047370862
1,0.05775228
1,0.022906305
1,0.031541895
1,0.08986116
1,0.08728009
1,0.059613977
1,0.08727598
1,0.08808996
1,0.04786968
1,0.045436822
1,0.04002759
1,0.01818755
1,0.011422571
1,0.01057146
1,0.006725974
1,0.0062443
1,0.00798325
1,0.0013421052
1,0.00802431
1,0.07297199
1,0.11087567
1,0.07066878
1,0.03418573
1,0.02320808
1,0.041812383
1,0.07486174
1,0.07375168
1,0.057412654
1,0.046417013
1,0.031041533
1,0.015468516
1,0.010073975
1,0.008094077
1,0.008387425
1,0.0044297804
1,0.00025855968
1,0.028944613
1,0.07775712
1,0.065106936
1,0.033433065
1,0.023248812
1,0.02130383
1,0.025435295
1,0.0173411
1,0.0043218965
1,0.03148962
1,0.06325899
1,0.04485971
1,0.03602283
1,0.035378445
1,0.02006181
1,0.012241218
1,0.01147231
1,0.008441029
1,0.0028172533
1,0.015770055
1,0.043717813
1,0.03669135
1,0.012080969
1,0.026096465
1,0.0725004
1,0.066952616
1,0.032964557
1,0.02450238
1,0.023338858
1,0.013531182
1,0.004064456
1,0.024821341
1,0.059842613
1,0.06433272
1,0.08119065
1,0.07209241
1,0.030166175
1,0.020350847
1,0.023915147
1,0.015718441
1,0.008086283
1,0.008485105
1,0.0071102576
1,0.00011701
1,0.021925187
1,0.08241603
1,0.0748729
1,0.035234727
1,0.039992742
1,0.05288468
1,0.03520187
1,0.01675848
1,0.012657949
1,0.011026799
1,0.007180844
1,0.004859289
1,0.003978385
1,0.0033038054
1,0.002981734
1,0.0025845815
1,0.0020613691
1,0.0020590161
1,0.0025570404
1,0.0026030797
1,0.0021437116
1,0.0014351418
1,0.0011352681
1,0.0021461167
1,0.004059901
1,0.005663592
1,0.006300197
1,0.0067094867
1,0.006578277
1,0.005234325
1,0.0037621825
1,0.0025531072
1,0.0015721226
1,0.0012810224
1,0.0019902478
1,0.0031278243
1,0.0038712975
1,0.0069508553
1,0.012706077
1,0.011697478
1,0.0057898187
1,0.0034458977
1,0.0022854032
1,0.0030498952
1,0.009010234
1,0.0144309085
1,0.020150255
1,0.033911612
1,0.035691142
1,0.0257994
1,0.023320455
1,0.01624835
1,0.007400908
1,0.0047353865
1,0.004245839
1,0.0027122078
1,0.0025374945
1,0.004274035
1,0.0005717817
1,0.0023168488
1,0.04976981
1,0.08689471
1,0.049863156
1,0.029636554
1,0.06492552
1,0.10257054
1,0.10941915
1,0.08654938
1,0.048313193
1,0.028350174
1,0.019129314
1,0.0125160655
1,0.011138142
1,0.007549405
1,0.004626444
1,0.007615148
1,0.009981129
1,0.009668284
1,0.021245766
1,0.037785355
1,0.031032754
1,0.015694216
1,0.010293499
1,0.010803241
1,0.009279004
1,0.0050431513
1,0.011858914
1,0.026211878
1,0.020117115
1,0.007146732
1,0.0046324288
1,0.0042951643
1,0.0028127504
1,0.002895184
1,0.003919768
1,0.0040570423
1,0.0041412045
1,0.0052541965
1,0.00520029
1,0.0032987883
1,0.0041225585
1,0.004784539
1,0.00055915385
1,0.019783577
1,0.06475499
1,0.057545114
1,0.0224742
1,0.014847305
1,0.01333647
1,0.0082782395
1,0.006039731
1,0.0051007136
1,0.0036535764
1,0.0025586623
1,0.002559689
1,0.0025674826
1,0.0003099753
1,0.0032254362
1,0.021449083
1,0.027365359
1,0.014142654
1,0.009957878
1,0.010936972
1,0.00457137
1,0.008387041
1,0.041854843
1,0.05687552
1,0.030682186
1,0.016689504
1,0.022502217
1,0.022019094
1,0.011341081
1,0.00607908
1,0.005823506
1,0.0048248335
1,0.0027325612
1,0.0029922898
1,0.005288795
1,0.00052996085
1,0.0045442544
1,0.0728858
1,0.12497407
1,0.07829273
1,0.06774461
1,0.0928962
1,0.06934903
1,0.04416354
1,0.029411957
1,0.016351974
1,0.01179993
1,0.011745661
1,0.011075658
1,0.0065954826
1,0.0037417996
1,0.016928015
1,0.027780585
1,0.015484381
1,0.008730142
1,0.024291463
1,0.037763316
1,0.024183057
1,0.009149008
1,0.003180862
1,0.028717995
1,0.086366564
1,0.101099424
1,0.08980366
1,0.08027776
1,0.043078918
1,0.029851627
1,0.05498248
1,0.049882784
1,0.021150397
1,0.012267736
1,0.011056344
1,0.008884291
1,0.010166453
1,0.0042765904
1,0.0004423735
1,0.05032973
1,0.1319796
1,0.10859645
1,0.049984228
1,0.027620368
1,0.020509375
1,0.035458658
1,0.055674523
1,0.04642645
1,0.04148739
1,0.036309864
1,0.027901247
1,0.029288003
1,0.025912555
1,0.01449104
1,0.01000725
1,0.008496752
1,0.006748667
1,0.006754465
1,0.002262707
1,0.0020568648
1,0.038995598
1,0.07284726
1,0.04566729
1,0.02167811
1,0.019930825
1,0.016493985
1,0.008184199
1,0.013957149
1,0.044713102
1,0.048891116
1,0.026532503
1,0.01839683
1,0.012603878
1,0.019599525
1,0.044551887
1,0.03712071
1,0.013012384
1,0.008193584
1,0.008197762
1,0.00233611
1,0.008739811
1,0.03729181
1,0.04419084
1,0.021750651
1,0.0062447195
1,0.01644203
1,0.057042476
1,0.10716545
1,0.1301465
1,0.079755045
1,0.02807927
1,0.019275656
1,0.018858833
1,0.013983533
1,0.010000726
1,0.0085677
1,0.008002461
1,0.0057175783
1,0.0049603162
1,0.0068476084
1,0.0011114447
1,0.0039094673
1,0.064709716
1,0.10769546
1,0.061518952
1,0.03657468
1,0.047123794
1,0.041588455
1,0.027106667
1,0.026743954
1,0.038238775
1,0.028621478
1,0.011527159
1,0.00857196
1,0.010138605
1,0.009307634
1,0.006383875
1,0.004647082
1,0.0094549395
1,0.017021004
1,0.02253582
1,0.02517007
1,0.02249062
1,0.0134202475
1,0.009958353
1,0.01375076
1,0.01266987
1,0.010938008
1,0.006480411
1,0.012251232
1,0.039840706
1,0.04019209
1,0.016605364
1,0.008572767
1,0.008658747
1,0.007053423
1,0.0066726115
1,0.0041041607
1,0.0008857885
1,0.016558409
1,0.03640227
1,0.023226991
1,0.0053343815
1,0.009955559
1,0.03093291
1,0.03401248
1,0.016345453
1,0.008913045
1,0.012416238
1,0.011545749
1,0.005568867
1,0.0033252356
1,0.003200645
1,0.0023643272
1,0.0017612423
1,0.0020282676
1,0.0014147273
1,1.2539439e-05
1,0.0064982697
1,0.02036511
1,0.018880583
1,0.013283793
1,0.006632017
1,0.0026519299
1,0.03466489
1,0.068084314
1,0.07329082
1,0.09797989
1,0.084570214
1,0.041724402
1,0.022013582
1,0.017598456
1,0.01646042
1,0.014181665
1,0.008768713
1,0.007251545
1,0.0079300925
1,0.0005259461
1,0.011869381
1,0.08710165
1,0.10896781
1,0.0472836
1,0.012335928
1,0.041500043
1,0.08771928
1,0.07663067
1,0.045997187
1,0.031042345
1,0.024948677
1,0.022085864
1,0.02017188
1,0.016870968
1,0.012456295
1,0.008489934
1,0.007188061
1,0.0085858675
1,0.0042026415
1,0.0034302333
1,0.040623702
1,0.072132796
1,0.040985193
1,0.012472005
1,0.051885266
1,0.0935127
1,0.05736
1,0.023156025
1,0.018049223
1,0.013775561
1,0.009436901
1,0.007536226
1,0.007304019
1,0.008295451
1,0.00426288
1,0.00018703748
1,0.03340372
1,0.09313981
1,0.07210269
1,0.02800052
1,0.02058723
1,0.018676408
1,0.015142962
1,0.01028868
1,0.00023471269
1,0.029627405
1,0.11306463
1,0.10791318
1,0.06496836
1,0.09904317
1,0.101040184
1,0.045799285
1,0.019899998
1,0.017803678
1,0.014061856
1,0.0099950805
1,0.008427899
1,0.006294658
1,0.0062380973
1,0.005328481
1,4.9074024e-05
1,0.01541697
1,0.078581646
1,0.09377278
1,0.070899874
1,0.061850403
1,0.045606665
1,0.026461756
1,0.019520571
1,0.04591628
1,0.06640517
1,0.037316017
1,0.016887933
1,0.016381478
1,0.015601642
1,0.010453578
1,0.0006374751
1,0.022085998
1,0.086587496
1,0.0906244
1,0.046089876
1,0.030291354
1,0.032005817
1,0.023978205
1,0.021336019
1,0.020920847
1,0.010104145
1,0.024613034
1,0.071249045
1,0.064674795
1,0.03363623
1,0.031215083
1,0.025023099
1,0.014281682
1,0.00939706
1,0.006835898
1,0.0054889284
1,0.0060712025
1,0.0074324775
1,0.0075890715
1,0.008273399
1,0.0089396
1,0.009919486
1,0.010295535
1,0.009396512
1,0.027374344
1,0.047083702
1,0.033493675
1,0.016899344
1,0.011938581
1,0.008476874
1,0.005758425
1,0.004415621
1,0.0040404447
1,0.0036366114
1,0.0020795625
1,0.0023207613
1,0.010862186
1,0.020533444
1,0.016734114
1,0.009910585
1,0.007869905
1,0.0069699693
1,0.0059614764
1,0.0012153172
1,0.0038663289
1,0.040120967
1,0.07613485
1,0.054148626
1,0.030025225
1,0.030796012
1,0.021097172
1,0.010687014
1,0.007943989
1,0.0066429223
1,0.0052812956
1,0.0037451896
1,0.0030024257
1,0.0026284007
1,0.0002611058
1,0.004116739
1,0.024375595
1,0.031269245
1,0.018712627
1,0.011180698
1,0.008617994
1,0.011298199
1,0.025006637
1,0.037640862
1,0.027406089
1,0.012830153
1,0.008196322
1,0.0064870594
1,0.0056085605
1,0.006434038
1,0.0043384186
1,0.0017110208
1,0.0084977755
1,0.019776357
1,0.030881982
1,0.051795565
1,0.069009386
1,0.059674863
1,0.035699982
1,0.026089324
1,0.011270962
1,0.021787057
1,0.08952903
1,0.09301205
1,0.037493188
1,0.023506407
1,0.02376242
1,0.013563919
1,0.007632133
1,0.006570195
1,0.004942906
1,0.0032812916
