BeanCount,rms_db,shake_rate_bpm
4,-38.652855,714.4629
4,-33.910442,714.4629
4,-31.760437,714.4629
4,-29.590122,714.4629
4,-29.736607,714.4629
4,-29.52686,714.4629
4,-30.408611,714.4629
4,-26.991203,714.4629
4,-24.804394,714.4629
4,-23.20047,714.4629
4,-23.823658,714.4629
4,-24.66515,714.4629
4,-24.85439,714.4629
4,-23.61699,714.4629
4,-22.255283,714.4629
4,-22.551086,714.4629
4,-19.950912,714.4629
4,-18.66713,714.4629
4,-17.723755,714.4629
4,-19.317192,714.4629
4,-21.930328,714.4629
4,-21.247196,714.4629
4,-21.050236,714.4629
4,-20.781528,714.4629
4,-24.434658,714.4629
4,-22.936153,714.4629
4,-21.894703,714.4629
4,-19.231236,714.4629
4,-19.61103,714.4629
4,-13.192848,714.4629
4,-13.338617,714.4629
4,-13.316296,627.6657
4,-19.349415,555.6604
4,-20.25861,498.47568
4,-12.994881,451.96283
4,-9.561216,413.38937
4,-8.427723,380.88235
4,-8.450356,360.68234
4,-10.031376,346.49963
4,-11.876209,333.3901
4,-15.303347,321.23642
4,-17.91791,309.93768
4,-20.810688,299.40674
4,-23.13593,289.5679
4,-25.287342,280.35513
4,-26.98373,271.71054
4,-23.892944,263.58307
4,-10.599419,255.92769
4,-9.587957,248.70445
4,-9.370602,249.28769
4,-11.811708,258.15543
4,-15.652868,267.6773
4,-15.937471,277.92853
4,-16.258095,288.9962
4,-15.87369,300.98187
4,-16.138956,314.00476
4,-16.702147,328.20554
4,-19.4777,343.75162
4,-22.007336,360.84366
4,-24.275127,379.72437
4,-24.232944,400.68997
4,-21.152367,424.10605
4,-18.581158,450.42877
4,-16.288599,480.23523
4,-14.762554,514.26605
4,-14.311108,553.48773
4,-12.22455,599.18604
4,-12.373695,634.989
4,-13.455271,567.4731
4,-19.29353,512.9347
4,-21.933075,467.96027
4,-16.507399,430.23682
4,-8.509895,398.14163
4,-5.6644154,370.50256
4,-5.314434,352.71872
4,-5.6108265,369.84583
4,-8.340126,388.72116
4,-10.281824,409.62668
4,-15.095381,432.90866
4,-17.30027,458.9966
4,-19.758953,488.43048
4,-21.984158,521.898
