BeanCount,rms_db,shake_rate_bpm
1024,-25.577356,488.46677
1024,-23.935461,488.46677
1024,-20.21728,488.46677
1024,-20.548796,488.46677
1024,-21.02035,488.46677
1024,-24.026842,488.46677
1024,-23.769667,488.46677
1024,-16.965616,488.46677
1024,-15.2768135,488.46677
1024,-15.2745075,485.63156
1024,-17.146055,481.65552
1024,-19.94929,477.74408
1024,-21.606134,473.89566
1024,-24.322523,470.1087
1024,-24.179453,466.38184
1024,-21.816732,462.71353
1024,-17.386194,459.10254
1024,-16.038399,455.5475
1024,-16.03416,458.73495
1024,-17.78718,469.2256
1024,-21.463648,480.20728
1024,-23.223291,491.71533
1024,-25.38939,503.78845
1024,-29.79313,516.46936
1024,-31.584726,529.8052
1024,-19.123796,543.84796
1024,-10.575888,558.65533
1024,-8.996641,574.2917
1024,-8.757839,563.55756
1024,-11.350607,535.17926
1024,-17.12611,509.5219
1024,-19.868822,486.21216
1024,-20.19945,464.94186
1024,-16.430033,445.45456
1024,-11.948517,427.53513
1024,-10.937241,411.00162
1024,-10.9979515,416.56525
1024,-12.777555,426.9144
1024,-15.208836,437.79083
1024,-15.77375,449.23605
1024,-17.135511,461.2957
1024,-18.21538,474.02063
1024,-21.366236,487.46756
1024,-21.578642,501.6997
1024,-12.393082,516.7879
1024,-6.482645,532.81177
1024,-5.2898636,549.861
1024,-5.424925,542.3953
1024,-8.661585,529.6303
1024,-13.416431,517.4523
1024,-16.160427,505.82166
1024,-16.41931,494.70242
1024,-13.484987,484.06152
1024,-10.367327,473.86874
1024,-9.341158,464.09634
1024,-9.992861,462.72583
1024,-11.607943,465.26846
1024,-15.56506,467.83917
1024,-18.344076,470.43842
1024,-20.809843,473.06677
1024,-23.946196,475.72464
1024,-20.219473,478.41254
1024,-12.084436,481.13095
1024,-7.5485764,483.8805
1024,-6.5337257,486.66162
1024,-6.960108,484.01172
1024,-10.164717,480.89865
1024,-15.590372,477.82535
1024,-18.402922,474.79108
1024,-19.872488,471.79507
1024,-17.51828,468.8367
1024,-15.302963,465.91513
1024,-13.109901,463.02982
1024,-12.086721,460.17996
1024,-12.4054165,467.39148
1024,-13.592527,480.0167
1024,-16.40307,493.34286
1024,-18.472147,507.4301
1024,-22.405481,522.3455
1024,-24.246763,538.16437
1024,-22.392183,554.97125
1024,-11.120232,572.8617
1024,-8.013441,591.94403
1024,-6.2854385,612.3415
1024,-7.025688,580.2872
1024,-9.341076,545.1316
1024,-14.997585,513.9923
1024,-17.527397,486.21835
1024,-16.147556,461.29208
1024,-12.752024,438.79688
1024,-11.177998,418.39365
1024,-10.928268,417.2446
