BeanCount,amplitude_envelope
1000,0.0018254748
1000,0.012371651
1000,0.031752955
1000,0.053327538
1000,0.06515448
1000,0.05983501
1000,0.044365704
1000,0.036742255
1000,0.04984164
1000,0.07765403
1000,0.09843019
1000,0.09417433
1000,0.06699335
1000,0.034547597
1000,0.012593237
1000,0.0051605725
1000,0.007718562
1000,0.014394914
1000,0.021469139
1000,0.027043398
1000,0.030105604
1000,0.030176884
1000,0.02763586
1000,0.023737539
1000,0.019148856
1000,0.013034563
1000,0.0051307534
1000,0.00015783228
1000,0.0063391617
1000,0.03280505
1000,0.0743458
1000,0.11059362
1000,0.11917948
1000,0.09527089
1000,0.05551433
1000,0.022180324
1000,0.0068300515
1000,0.008232851
1000,0.019541671
1000,0.03396405
1000,0.045775574
1000,0.05057925
1000,0.04704549
1000,0.037669603
1000,0.026454486
1000,0.015869906
1000,0.0072421357
1000,0.0041900994
1000,0.0137676755
1000,0.04108053
1000,0.080427594
1000,0.11323416
1000,0.120192714
1000,0.09837431
1000,0.06278879
1000,0.031841274
1000,0.015314859
1000,0.012998312
1000,0.019442184
1000,0.028448481
1000,0.03514966
1000,0.036780298
1000,0.03313905
1000,0.026035951
1000,0.017406464
1000,0.008756223
1000,0.0035683918
1000,0.008818822
1000,0.030818325
1000,0.06681102
1000,0.100988396
1000,0.113393374
1000,0.09668444
1000,0.062637925
1000,0.03074402
1000,0.012901674
1000,0.009550589
1000,0.015789764
1000,0.02739558
1000,0.04140515
1000,0.053979523
1000,0.060046814
1000,0.055560093
1000,0.040712193
1000,0.021643564
1000,0.009027477
1000,0.013875043
1000,0.04064596
1000,0.08053007
1000,0.1128012
1000,0.11815583
1000,0.094500236
1000,0.058152962
1000,0.028495703
1000,0.014433309
1000,0.013762799
1000,0.020044051
1000,0.028020112
1000,0.034617767
1000,0.037756577
1000,0.03598872
1000,0.029471165
1000,0.020279273
1000,0.0118261315
1000,0.00845258
1000,0.014099478
1000,0.028949864
1000,0.04673045
1000,0.057532966
1000,0.055658896
1000,0.043621246
1000,0.028520556
1000,0.016548663
1000,0.0100526465
1000,0.00822753
1000,0.009400279
1000,0.012397942
1000,0.016503103
1000,0.020911159
1000,0.024132237
1000,0.023925856
1000,0.01890844
1000,0.01189362
1000,0.011099319
1000,0.025276985
1000,0.054765396
1000,0.086810306
1000,0.102708
1000,0.09283338
1000,0.064776994
1000,0.0354723
1000,0.017232388
1000,0.011932864
1000,0.01497212
1000,0.02168576
1000,0.029902102
1000,0.03807802
1000,0.043388758
1000,0.043078028
1000,0.036350943
1000,0.02479252
1000,0.012770503
1000,0.0074171615
1000,0.015975311
1000,0.04037019
1000,0.07265455
1000,0.09721444
1000,0.10056211
1000,0.08139605
1000,0.05146779
1000,0.025781928
1000,0.012741312
1000,0.012735198
1000,0.02203478
1000,0.035581175
1000,0.047725357
1000,0.05327437
1000,0.049578577
1000,0.037653442
1000,0.022260886
1000,0.011280713
1000,0.013010272
1000,0.031170327
1000,0.06010847
1000,0.0856088
1000,0.09361893
1000,0.0803191
1000,0.054425728
1000,0.029496577
1000,0.014283961
1000,0.01035728
1000,0.015640045
1000,0.027103264
1000,0.04014579
1000,0.04850737
1000,0.047873706
1000,0.03882581
1000,0.025454948
1000,0.013178393
1000,0.007953052
1000,0.0149158705
1000,0.03485517
1000,0.060722232
1000,0.07962841
1000,0.08138186
1000,0.065974206
1000,0.04261318
1000,0.022073083
1000,0.010530939
1000,0.009328531
1000,0.017468156
1000,0.032101993
1000,0.047369134
1000,0.055718627
1000,0.052761782
1000,0.040385507
1000,0.024474857
1000,0.011529816
1000,0.0077348505
1000,0.018005012
1000,0.0420161
1000,0.070321955
1000,0.08766483
1000,0.084115684
1000,0.06314237
1000,0.03747742
1000,0.018589528
1000,0.010652581
1000,0.011857779
1000,0.018343925
1000,0.026379133
1000,0.03270227
1000,0.034679152
1000,0.0310707
1000,0.023061674
1000,0.014281307
1000,0.009449694
1000,0.011985603
1000,0.021528572
1000,0.03344833
1000,0.041518703
1000,0.041986402
1000,0.035312068
1000,0.024945496
1000,0.015163289
1000,0.009053648
1000,0.007882487
1000,0.011589236
1000,0.019131208
1000,0.028495329
1000,0.03703978
1000,0.041767232
1000,0.039740488
1000,0.030106727
1000,0.016513102
1000,0.0076134624
1000,0.014054139
1000,0.041215423
1000,0.081860915
1000,0.11681975
1000,0.1269571
1000,0.1077053
1000,0.071851455
1000,0.038299154
1000,0.018875733
1000,0.014685377
1000,0.021162197
1000,0.033518985
1000,0.048166666
1000,0.06133369
1000,0.06775582
1000,0.06252754
1000,0.04642277
1000,0.02865479
1000,0.022273876
1000,0.03533048
1000,0.06392507
1000,0.0928054
1000,0.10504569
1000,0.09409998
1000,0.06762275
1000,0.039814644
1000,0.020971982
1000,0.013651365
1000,0.015750447
1000,0.024477655
1000,0.037204348
1000,0.05018419
1000,0.05822203
1000,0.056842696
1000,0.04536048
1000,0.02761688
1000,0.010955611
1000,0.004820629
1000,0.017555676
1000,0.050098885
1000,0.09060678
1000,0.11835789
1000,0.11828768
1000,0.093011566
1000,0.05873518
1000,0.030751122
1000,0.0154862795
1000,0.013826711
1000,0.026356082
1000,0.05180963
1000,0.08179542
1000,0.10221946
1000,0.10298789
1000,0.084425904
1000,0.055474397
1000,0.029189339
1000,0.018791655
1000,0.0336224
1000,0.073215
1000,0.12205819
1000,0.15369143
1000,0.14893518
