BeanCount,amplitude_envelope
128,0.003802794
128,0.0037781
128,0.0038970597
128,0.0038470603
128,0.0033996673
128,0.002729041
128,0.002384549
128,0.002839258
128,0.004002799
128,0.0052214
128,0.0058112354
128,0.005534695
128,0.0046398086
128,0.0036461602
128,0.003064645
128,0.0031518664
128,0.0038393363
128,0.004924457
128,0.0062306975
128,0.0073290113
128,0.0073928316
128,0.00611645
128,0.0050782105
128,0.0077823377
128,0.017364457
128,0.032948326
128,0.04811975
128,0.05457582
128,0.048961632
128,0.03569293
128,0.022458363
128,0.01422592
128,0.011281801
128,0.01102748
128,0.01086194
128,0.010095455
128,0.010177324
128,0.013358806
128,0.020467745
128,0.029170437
128,0.03456401
128,0.032932274
128,0.026221164
128,0.022669591
128,0.031378053
128,0.054151207
128,0.081978805
128,0.10129742
128,0.1042864
128,0.091549836
128,0.06863451
128,0.04379218
128,0.024952661
128,0.015401536
128,0.013355923
128,0.015444658
128,0.020015264
128,0.027781684
128,0.040081292
128,0.056107447
128,0.071147904
128,0.07845727
128,0.07520649
128,0.067862764
128,0.06943687
128,0.087048315
128,0.112205625
128,0.12702426
128,0.11982635
128,0.0937031
128,0.06189585
128,0.036410995
128,0.021031316
128,0.0134418225
128,0.011793119
128,0.01801294
128,0.034639716
128,0.05906511
128,0.08236709
128,0.09482277
128,0.09180089
128,0.07517207
128,0.05210799
128,0.032185722
128,0.024577484
128,0.035534017
128,0.06384406
128,0.097848795
128,0.120614134
128,0.1212498
128,0.10153688
128,0.072632276
128,0.046609733
128,0.029747574
128,0.021192525
128,0.01687693
128,0.014565577
128,0.015144105
128,0.01972656
128,0.026441026
128,0.030808426
128,0.029733874
128,0.024476595
128,0.019148273
128,0.017018568
128,0.018354649
128,0.021127077
128,0.023064466
128,0.022864848
128,0.020289134
128,0.016051844
128,0.011646242
128,0.008459444
128,0.006929046
128,0.0067403032
128,0.0073468997
128,0.008181643
128,0.008803288
128,0.009249961
128,0.0102925515
128,0.013014205
128,0.017679524
128,0.022824707
128,0.025914298
128,0.025226258
128,0.021070411
128,0.015352011
128,0.010193699
128,0.0068660527
128,0.00549708
128,0.0054184496
128,0.0058937594
128,0.0066529172
128,0.007820913
128,0.009508616
128,0.011428269
128,0.012835604
128,0.013001039
128,0.011765225
128,0.009848116
128,0.008732934
128,0.0096946005
128,0.012730511
128,0.016776491
128,0.02081851
128,0.02423455
128,0.026391802
128,0.026581606
128,0.024501795
128,0.020617114
128,0.015904253
128,0.011336379
128,0.0077359607
128,0.005963521
128,0.006951535
128,0.011153731
128,0.017645545
128,0.023875128
128,0.026957458
128,0.025789846
128,0.021853488
128,0.017512824
128,0.0140697975
128,0.011595851
128,0.009538807
128,0.0074319714
128,0.005480915
128,0.0044842064
128,0.0050884085
128,0.0070159114
128,0.009115239
128,0.01058141
128,0.012197547
128,0.015631855
128,0.021051014
128,0.025886636
128,0.027018353
128,0.025030114
128,0.025577076
128,0.034615133
128,0.051386524
128,0.067128226
128,0.07235783
128,0.064677015
128,0.049270235
128,0.03373567
128,0.022903211
128,0.017165903
128,0.014403095
128,0.013393153
128,0.015468631
128,0.022660438
128,0.03430399
128,0.04604566
128,0.052595615
128,0.05120463
128,0.04318559
128,0.034001697
128,0.031296056
128,0.040693305
128,0.06172605
128,0.08708977
128,0.105681464
128,0.10799996
128,0.09215356
128,0.066068105
128,0.04156477
128,0.025718745
128,0.018279044
128,0.015238858
128,0.013828938
128,0.01520596
128,0.02322492
128,0.039592
128,0.059282187
128,0.07203284
128,0.071008325
128,0.059931755
128,0.04972382
128,0.04897555
128,0.056965206
128,0.06463782
128,0.06327708
128,0.052397814
128,0.038383637
128,0.027155448
128,0.020272879
128,0.016560728
128,0.015142796
128,0.016497014
128,0.021272244
128,0.028436849
128,0.034859914
128,0.03762901
128,0.037108593
128,0.03688841
128,0.040217284
128,0.046570264
128,0.051936466
128,0.052092504
128,0.045612074
128,0.034532018
128,0.022829928
128,0.014056397
128,0.009758908
128,0.009614638
128,0.0124893915
128,0.017235918
128,0.02286225
128,0.028097117
128,0.030761534
128,0.028582977
128,0.021542344
128,0.012871476
128,0.007730909
128,0.010719791
128,0.022937987
128,0.04014507
128,0.05431003
128,0.05858454
128,0.0517183
128,0.038081817
128,0.024298264
128,0.015404906
128,0.012597213
128,0.013509845
128,0.01480103
128,0.015311207
128,0.016949963
128,0.022172116
128,0.030507123
128,0.037539314
128,0.0380872
128,0.031535085
128,0.023575548
128,0.021871457
128,0.029589389
128,0.042324137
128,0.051479656
128,0.051199056
128,0.04198047
128,0.02900911
128,0.01811718
128,0.012650406
128,0.013034206
128,0.017986197
128,0.025467372
128,0.033290274
128,0.03977799
128,0.04441721
128,0.04753183
128,0.048412643
128,0.04529214
128,0.03821593
128,0.031371396
128,0.0313225
128,0.041632604
128,0.058874663
128,0.07422549
128,0.07961059
128,0.07296691
128,0.058339868
128,0.041854955
128,0.02795532
128,0.018137308
128,0.011693597
128,0.008136606
128,0.009180855
128,0.01759339
128,0.0332302
128,0.05020711
128,0.059702504
128,0.05677851
128,0.044408325
128,0.031450693
128,0.026080953
128,0.030219113
128,0.03905714
128,0.045278747
128,0.044342805
128,0.036695857
128,0.026137304
128,0.016806891
128,0.010966629
128,0.008595878
128,0.008624123
128,0.010488386
128,0.0147158215
128,0.022010818
128,0.03144992
128,0.039763734
128,0.04312535
128,0.040232524
128,0.03430489
128,0.03254649
128,0.04268675
128,0.06693304
128,0.097391024
128,0.11933448
128,0.12117273
128,0.102406934
128,0.073212475
128,0.046535753
128,0.03000696
128,0.024002228
128,0.02494609
128,0.028888596
128,0.033186257
128,0.037115153
128,0.041116703
128,0.04484945
128,0.04670258
128,0.04545805
128,0.042284887
128,0.04123138
128,0.0464656
128,0.057924833
128,0.07021962
128,0.07591608
128,0.07095562
128,0.05746568
128,0.04135087
128,0.027910639
128,0.019170163
128,0.014221468
128,0.011431893
128,0.010305028
128,0.011771144
128,0.0168754
128,0.024861448
128,0.032606814
128,0.036407974
128,0.03445447
128,0.028211324
128,0.022288492
128,0.021831205
128,0.028458495
128,0.038715977
128,0.046921536
128,0.049056202
128,0.044286065
128,0.03471042
128,0.024281416
128,0.016551325
128,0.012761545
128,0.011946019
128,0.012617425
128,0.014120369
128,0.016516544
128,0.019513479
128,0.021703852
128,0.021252638
128,0.017653394
128,0.012961684
128,0.01148533
128,0.017246915
128,0.030105578
128,0.044216115
128,0.051872477
128,0.04958994
128,0.039782915
128,0.027671065
128,0.017631445
128,0.011563376
128,0.0092122005
128,0.009566255
128,0.012192153
128,0.017392915
128,0.025022456
128,0.03305327
128,0.038050424
128,0.03795765
128,0.033707533
128,0.02807037
128,0.024433604
128,0.026322756
128,0.0366728
128,0.05637693
128,0.08172636
128,0.10316076
128,0.109844334
128,0.09816459
128,0.07463831
128,0.049948968
128,0.031802826
128,0.022146523
128,0.018636521
128,0.018004555
128,0.01899581
128,0.0231008
128,0.032204248
128,0.04524499
128,0.05783235
128,0.064908706
128,0.06280782
128,0.051508058
128,0.037582148
128,0.032131042
128,0.04275067
128,0.06670764
128,0.091263816
128,0.1012666
128,0.08992741
128,0.064134255
128,0.038204975
128,0.023002792
128,0.020440172
128,0.02510554
128,0.029723085
128,0.031041311
128,0.0324218
128,0.039976228
128,0.054906707
128,0.069797374
128,0.0740502
128,0.06427602
128,0.048949733
128,0.043543957
128,0.059358522
128,0.093062945
128,0.12686388
128,0.14196187
128,0.13265204
128,0.10702288
128,0.077633455
128,0.05389409
128,0.038798574
128,0.030004881
128,0.02451175
128,0.021879459
128,0.023893183
128,0.032035034
128,0.04448697
128,0.055135224
128,0.057061277
128,0.04899057
128,0.037941866
128,0.0341414
128,0.042942837
128,0.06035206
128,0.07555192
128,0.07891891
128,0.06869944
128,0.051037807
128,0.034683943
128,0.024899738
128,0.021148311
128,0.019735582
128,0.01815144
128,0.016971145
128,0.018425293
128,0.023920251
128,0.032209005
128,0.039487194
128,0.042104296
128,0.04029395
128,0.039146174
128,0.044648174
128,0.058190096
128,0.074376166
128,0.08371479
128,0.07887594
128,0.06119267
128,0.04019831
128,0.025082601
128,0.018268865
128,0.016656285
128,0.016446551
128,0.016226824
128,0.017036567
128,0.020394277
128,0.02601571
128,0.031153357
128,0.032585796
128,0.029851006
128,0.026681637
128,0.028543286
128,0.03769827
128,0.050455373
128,0.0591878
128,0.05824965
128,0.048362397
128,0.03476428
128,0.022787604
128,0.0150363175
128,0.011201863
128,0.009789579
128,0.009956427
128,0.011979945
128,0.016218359
128,0.02158899
128,0.025310224
128,0.02516784
128,0.022507621
128,0.02205435
128,0.02820049
128,0.041264772
128,0.056458957
128,0.06639443
128,0.06606138
128,0.056152124
128,0.041762173
128,0.028454019
128,0.019096216
128,0.013682489
128,0.011287586
128,0.011698051
128,0.0155464215
128,0.023115834
128,0.03291116
128,0.041705567
128,0.04628199
128,0.044932723
128,0.038299564
128,0.030646382
128,0.029529529
128,0.041784458
128,0.06843967
128,0.10238056
128,0.13103531
128,0.1426542
128,0.13222447
128,0.10465937
128,0.07177777
128,0.044837587
128,0.028984325
128,0.022845322
128,0.021825437
128,0.022086648
128,0.023287265
128,0.028673688
128,0.04147888
128,0.06023473
128,0.07811083
128,0.08715922
128,0.08405193
128,0.07354394
128,0.066501334
128,0.072064094
128,0.089878865
128,0.1103666
128,0.12248278
128,0.12002276
128,0.10302313
128,0.07753972
128,0.052625332
128,0.034524295
128,0.024229405
128,0.019553998
128,0.018035006
128,0.018509151
128,0.020931084
128,0.025331989
128,0.030980969
128,0.03613834
128,0.038753413
128,0.038225606
128,0.03666683
128,0.036996588
128,0.03941546
128,0.040934734
128,0.03834211
128,0.031243248
128,0.022230987
128,0.014555309
128,0.010016084
128,0.008627014
128,0.009474819
128,0.011651755
128,0.014639912
128,0.01822426
128,0.022277908
128,0.026684163
128,0.031475432
128,0.0368995
128,0.043693863
128,0.053140998
128,0.06523568
128,0.076116994
128,0.080364786
128,0.076508254
128,0.06693547
128,0.054370105
128,0.04102391
128,0.029021982
128,0.019811634
128,0.01387933
128,0.011257303
128,0.011955896
128,0.015986765
128,0.02288515
128,0.031110717
128,0.038194
128,0.041838877
128,0.041438427
128,0.039613843
128,0.041431654
128,0.049211245
128,0.059090704
128,0.065129936
128,0.06444055
128,0.057486754
128,0.046283197
128,0.033489417
128,0.02207676
128,0.014332357
128,0.010990115
128,0.011468669
128,0.014747137
128,0.019900208
128,0.025827127
128,0.03084946
128,0.033203196
128,0.03238565
128,0.030380972
128,0.031504918
128,0.039812755
128,0.054931145
128,0.07053728
128,0.07894416
128,0.077722594
128,0.07059089
128,0.062163465
128,0.053325344
128,0.043011896
128,0.03248275
128,0.024712786
128,0.021319056
128,0.021717535
128,0.024707751
128,0.029516649
128,0.035022944
128,0.039386563
128,0.040953092
128,0.039236173
128,0.035905648
128,0.03462446
128,0.03858747
128,0.047297634
128,0.056351677
128,0.06055236
128,0.056960564
128,0.046349682
128,0.032636274
128,0.02038853
128,0.012726681
128,0.010421177
128,0.012188998
128,0.015833953
128,0.019762365
128,0.02407623
128,0.029546821
128,0.034913592
128,0.036710672
128,0.032762367
128,0.025006672
128,0.018775597
128,0.019647872
128,0.029977558
128,0.04676556
128,0.062337525
128,0.06851741
128,0.062259994
128,0.047610268
128,0.032055166
128,0.021318488
128,0.016815478
128,0.01682703
128,0.018964503
128,0.021645859
128,0.024398813
128,0.027076226
128,0.028729182
128,0.02760503
128,0.023027556
128,0.017660012
128,0.016981618
128,0.025159935
128,0.040745843
128,0.056778725
128,0.06546283
128,0.0633293
128,0.052555613
128,0.038108144
128,0.024675183
128,0.015313289
128,0.011367166
128,0.012982431
128,0.019179396
128,0.027468814
128,0.03445466
128,0.038075317
128,0.038914263
128,0.038557455
128,0.037209537
128,0.034107998
128,0.03099055
128,0.0335281
128,0.0463726
128,0.06691877
128,0.085308716
128,0.091009334
128,0.08074956
128,0.060596883
128,0.040318877
128,0.026280513
128,0.019560311
128,0.018641774
128,0.021900084
128,0.027775573
128,0.034310117
128,0.04030479
128,0.046493117
128,0.05371203
128,0.06005121
128,0.061942667
128,0.059845384
128,0.06199221
128,0.07902604
128,0.11236401
128,0.14801507
128,0.16538645
128,0.1544652
128,0.1222453
128,0.084180824
128,0.052638777
128,0.0320734
128,0.021779599
128,0.02159983
128,0.03351662
128,0.056999225
128,0.08473743
128,0.106811695
128,0.118729554
128,0.12020555
128,0.10985404
128,0.08896507
128,0.068316326
128,0.064855084
128,0.08843105
128,0.13057214
128,0.16797668
128,0.17987281
128,0.16184679
128,0.12485627
128,0.08508619
128,0.05403867
128,0.03512753
128,0.02621157
128,0.023593718
128,0.02471338
128,0.028637717
128,0.03467855
128,0.040866982
128,0.044466347
128,0.045171663
128,0.04745475
128,0.056616873
128,0.07177672
128,0.08486128
128,0.08727749
128,0.076721504
128,0.05852327
128,0.040899046
128,0.029210925
128,0.023917964
128,0.022238983
128,0.021317955
128,0.020709824
128,0.022108866
128,0.026705919
128,0.032741603
128,0.035660222
128,0.031916015
128,0.024203824
128,0.022308303
128,0.03630745
128,0.06593436
128,0.09627069
128,0.108602196
128,0.09737681
128,0.07246618
128,0.04768901
128,0.030952334
128,0.02256605
128,0.019154873
128,0.017815454
128,0.017287454
128,0.017113827
128,0.017302224
128,0.018501764
128,0.021516059
128,0.026128627
128,0.030223003
128,0.030485421
128,0.025074989
128,0.016616857
128,0.01284815
128,0.022858925
128,0.049780965
128,0.08501029
128,0.111113794
128,0.114305586
128,0.095003426
128,0.065792456
128,0.040355023
128,0.025197674
128,0.01927823
128,0.018517027
128,0.020050155
128,0.023223938
128,0.028220603
128,0.034987416
128,0.043132447
128,0.051077213
128,0.055593885
128,0.054170303
128,0.048056968
128,0.04194113
128,0.041148666
128,0.049459595
128,0.067152254
128,0.08911503
128,0.106157005
128,0.1104969
128,0.100052364
128,0.078381084
128,0.052870717
128,0.031531192
128,0.019180113
128,0.016740922
128,0.023102455
128,0.03614468
128,0.05201354
128,0.06478679
128,0.06879453
128,0.06281653
128,0.051978495
128,0.04502299
128,0.04826182
128,0.06093459
128,0.076166734
128,0.085494034
128,0.08378931
128,0.072172694
128,0.05603042
128,0.040336087
128,0.028394807
128,0.022570357
128,0.023337161
128,0.028455524
128,0.03424019
128,0.037796088
128,0.037805736
128,0.03405423
128,0.027610214
128,0.020890957
128,0.01704055
128,0.018780127
128,0.026975624
128,0.03991668
128,0.0541757
128,0.066188484
128,0.07282381
128,0.07170444
128,0.062534206
128,0.048015818
128,0.032531038
128,0.020344324
128,0.014622164
128,0.01649131
128,0.02436512
128,0.034593627
128,0.043953035
128,0.051099632
128,0.05469151
128,0.052938692
128,0.046633337
128,0.040582824
128,0.04107019
128,0.051496405
128,0.06892674
128,0.08431858
128,0.08792283
128,0.076760225
128,0.056575302
128,0.037318468
128,0.026454153
128,0.024596132
128,0.02697551
128,0.028840052
128,0.02935695
128,0.030731589
128,0.034440406
128,0.038786333
128,0.039920136
128,0.035474647
128,0.028171986
128,0.026189191
128,0.038638078
128,0.068296686
128,0.10616239
128,0.1343137
128,0.13830566
128,0.11748661
128,0.08351914
128,0.051194713
128,0.029499192
128,0.019393971
128,0.018052397
128,0.023108099
128,0.032804668
128,0.044364337
128,0.055194005
128,0.06530681
128,0.07437956
128,0.07758875
128,0.06991019
128,0.054109503
128,0.040704947
128,0.04056414
128,0.056434777
128,0.07908398
128,0.09305085
128,0.08883197
128,0.06954495
128,0.04624062
128,0.028870443
128,0.020869529
128,0.019523919
128,0.020135136
128,0.020603968
128,0.023130715
128,0.03145255
128,0.045807727
128,0.060331848
128,0.06658547
128,0.061018288
128,0.048760705
128,0.040947124
128,0.04736502
128,0.06855223
128,0.093794875
128,0.108208895
128,0.103200644
128,0.08196448
128,0.056179423
128,0.036558416
128,0.026166523
128,0.021481046
128,0.018360637
128,0.01667609
128,0.019910937
128,0.031169226
128,0.04903082
128,0.06641732
128,0.074185245
128,0.067766555
128,0.05133528
128,0.03594308
128,0.03314439
128,0.047211997
128,0.07075034
128,0.08937247
128,0.09308367
128,0.08251467
128,0.064753205
128,0.046915956
128,0.033125613
128,0.024500785
128,0.020664545
128,0.020882882
128,0.024619777
128,0.031948335
128,0.043092202
128,0.056534354
128,0.067372136
128,0.06935725
128,0.060794
128,0.04857582
128,0.04507096
128,0.059834078
128,0.09236405
128,0.13055448
128,0.15616803
128,0.15590239
128,0.1308307
128,0.09434104
128,0.061471418
128,0.039781217
128,0.028350303
128,0.023568837
128,0.024219526
128,0.031611234
128,0.04593018
128,0.06285327
128,0.07397024
128,0.07214562
128,0.05828534
128,0.043790177
128,0.0453663
128,0.07270732
128,0.11706518
128,0.15286177
128,0.15627779
128,0.12596461
128,0.08234702
128,0.04748691
128,0.02956355
128,0.023829324
128,0.02230551
128,0.020893896
128,0.020435968
128,0.024392352
128,0.035654224
128,0.053664356
128,0.07346069
128,0.08803921
128,0.09380115
128,0.09517695
128,0.1012649
128,0.115540214
128,0.12895913
128,0.12656033
128,0.103392035
128,0.06984483
128,0.040925782
128,0.024541434
128,0.019164134
128,0.01901334
128,0.019752821
128,0.020682715
128,0.023199528
128,0.027632682
128,0.031710733
128,0.032560237
128,0.03008413
128,0.027445393
128,0.02833056
128,0.034594186
128,0.045747988
128,0.058712374
128,0.06847612
128,0.07094626
128,0.06528339
128,0.053962626
128,0.0418578
128,0.034280036
128,0.03332118
128,0.03545255
128,0.034695987
128,0.02952428
128,0.024658889
128,0.025594324
128,0.032460805
128,0.039448984
128,0.040580407
128,0.035581063
128,0.028939154
128,0.024562048
128,0.022639431
128,0.020800948
128,0.017128006
128,0.012029089
128,0.007912135
128,0.0073117106
128,0.010959609
128,0.017032912
128,0.022367373
128,0.025160795
128,0.0262991
128,0.027740452
128,0.030210162
128,0.03270763
128,0.033936996
128,0.03422219
128,0.036031447
128,0.042415205
128,0.055202268
128,0.07398608
128,0.09456707
128,0.108356446
128,0.106634036
128,0.08792523
128,0.06043866
128,0.035633452
128,0.020434713
128,0.01527001
128,0.016905168
128,0.02191238
128,0.028258104
128,0.034800224
128,0.039993364
128,0.041756067
128,0.03876718
128,0.031945143
128,0.024303658
128,0.019173965
128,0.017954603
128,0.019110413
128,0.01954479
128,0.017316826
128,0.0135161495
128,0.011233948
128,0.012371716
128,0.015806383
128,0.018995747
128,0.020907529
128,0.022520175
128,0.025177443
128,0.029387752
128,0.03450134
128,0.03882381
128,0.041627202
128,0.046439774
128,0.059480164
128,0.08175629
128,0.104818955
128,0.11611428
128,0.10841028
128,0.08512413
128,0.056940533
128,0.033896085
128,0.020503882
128,0.01604505
128,0.017422771
128,0.021490669
128,0.026028488
128,0.03023322
128,0.034499172
128,0.039120417
128,0.043347526
128,0.04578085
128,0.046027094
128,0.046602875
128,0.0523178
128,0.066012755
128,0.08418172
128,0.098284386
128,0.10147036
128,0.09285124
128,0.07615768
128,0.056789715
128,0.03937859
128,0.026367482
128,0.018655434
128,0.016927576
128,0.02149076
128,0.03129329
128,0.044243716
128,0.058399998
128,0.07105117
128,0.07735862
128,0.07359796
128,0.06339511
128,0.058121737
128,0.0680955
128,0.09281554
128,0.12045832
128,0.1368445
128,0.13393882
128,0.1130527
128,0.0834726
128,0.05647186
128,0.03835288
128,0.028641189
128,0.023981148
128,0.023296665
128,0.029463554
128,0.04581126
128,0.07030101
128,0.09315091
128,0.102724366
128,0.09637794
128,0.08439737
128,0.08218379
128,0.09786097
128,0.124612756
128,0.14459586
128,0.1425026
128,0.11738871
128,0.081859775
128,0.050562724
128,0.030674085
128,0.021383166
128,0.019089757
128,0.021942222
128,0.030024625
128,0.04221378
128,0.05449303
128,0.062404644
128,0.06389881
128,0.059876956
128,0.054068923
128,0.051755816
128,0.055475637
128,0.061477166
128,0.06269995
128,0.055463012
128,0.042620007
128,0.030851193
128,0.02546147
128,0.027704421
128,0.035232402
128,0.04376569
128,0.049175788
128,0.04974464
128,0.046566326
128,0.041601133
128,0.036277194
128,0.03210637
128,0.032416213
128,0.041912716
128,0.061999857
128,0.086199716
128,0.10257769
128,0.102628514
128,0.087363414
128,0.06523646
128,0.04599462
128,0.035471033
128,0.03308755
128,0.0334998
128,0.032030735
128,0.029156301
128,0.029261382
128,0.03632642
128,0.050621923
128,0.06742789
128,0.07865057
128,0.07838169
128,0.068630785
128,0.058842767
128,0.058945414
128,0.07277405
128,0.096653424
128,0.12129124
128,0.13499129
128,0.13009806
128,0.10908134
128,0.0831384
128,0.063369066
128,0.052737087
128,0.046772476
128,0.04226084
128,0.04276911
128,0.05406252
128,0.07515903
128,0.09560723
128,0.10349087
128,0.09727964
128,0.08712062
128,0.08423944
128,0.09149479
128,0.10410634
128,0.114689305
128,0.11570057
128,0.10296279
128,0.07967661
128,0.055038556
128,0.036986027
128,0.02707311
128,0.022029907
128,0.018927861
128,0.018865095
128,0.025922535
128,0.041808944
128,0.061104063
128,0.07330682
128,0.07111403
128,0.055774104
128,0.03524233
128,0.019518003
128,0.017225536
128,0.032868005
128,0.06341641
128,0.09672238
128,0.11650654
128,0.11276752
128,0.08888593
128,0.05880277
128,0.036116425
128,0.025952172
128,0.025668822
128,0.03032582
128,0.036531627
128,0.042982683
128,0.04951948
128,0.055521905
128,0.05874623
128,0.056524795
128,0.048996724
128,0.041532904
128,0.042719427
128,0.05734462
128,0.08020262
128,0.09807782
128,0.09951328
128,0.08343079
128,0.059480034
128,0.0396942
128,0.029534718
128,0.026805734
128,0.026876079
128,0.02782366
128,0.031527404
128,0.04034714
128,0.052353114
128,0.060825817
128,0.05996075
128,0.04998725
128,0.036507662
128,0.026847996
128,0.026543532
128,0.03681894
128,0.053663645
128,0.069351375
128,0.07648326
128,0.07204651
128,0.05843127
128,0.041968375
128,0.02998912
128,0.027028082
128,0.03264151
128,0.042728063
128,0.053638406
128,0.06508011
128,0.07727039
128,0.08659225
128,0.08672289
128,0.07405162
128,0.052318685
128,0.032301463
128,0.025519012
128,0.036673952
128,0.059902284
128,0.08148088
128,0.08860003
128,0.07846222
