BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
4,0.007329098,-38.652855,0.0,0.0,0.22500001,375.0
4,0.022541428,-33.910442,0.009102555,0.0,0.22500001,375.0
4,0.03234765,-31.760437,0.011912602,0.18607882,0.22500001,375.0
4,0.034880586,-29.590122,0.013412731,0.1179545,0.22500001,375.0
4,0.032529254,-29.736607,0.016087888,0.18619412,0.22500001,375.0
4,0.030971594,-29.52686,0.0068918457,0.12903006,0.22500001,375.0
4,0.03561475,-30.408611,0.012677863,0.045518994,0.22500001,375.0
4,0.04703866,-26.991203,0.011665861,0.099850096,0.22500001,375.0
4,0.05970772,-24.804394,0.041779067,0.07852224,0.22500001,375.0
4,0.066423535,-23.20047,0.022284951,0.2575408,0.22500001,375.0
4,0.065245114,-23.823658,0.023209877,0.11537616,0.22500001,375.0
4,0.06105182,-24.66515,0.006611991,0.08195638,0.22500001,375.0
4,0.05985445,-24.85439,0.011548748,0.024952108,0.22500001,375.0
4,0.06375845,-23.61699,0.030599976,0.037171196,0.22500001,375.0
4,0.07317089,-22.255283,0.026201151,0.16288154,0.22500001,375.0
4,0.08914736,-22.551086,0.041372478,0.14172544,0.22500001,375.0
4,0.10863417,-19.950912,0.020568136,0.14205512,0.22500001,375.0
4,0.1211897,-18.66713,0.09542406,0.06930364,0.22500001,375.0
4,0.11766858,-17.723755,0.053754576,0.23161146,0.22500001,375.0
4,0.101836555,-19.317192,0.021529771,0.11443139,0.22500001,375.0
4,0.08687959,-21.930328,0.008832063,0.03354947,0.22500001,375.0
4,0.0802335,-21.247196,0.042836882,0.018466635,0.22500001,375.0
4,0.07687543,-21.050236,0.06877199,0.1422618,0.22500001,375.0
4,0.06940281,-20.781528,0.009960422,0.1790416,0.22500001,375.0
4,0.0597051,-24.434658,0.010917449,0.019523576,0.22500001,375.0
4,0.058955435,-22.936153,0.014422529,0.058228783,0.22500001,375.0
4,0.07821319,-21.894703,0.06738061,0.08781227,0.22500001,375.0
4,0.11797505,-19.231236,0.047867008,0.2449331,0.22500001,375.0
4,0.16305943,-19.61103,0.057501066,0.17770538,0.22500001,375.0
4,0.18668732,-13.192848,0.11088073,0.15050872,0.22500001,375.0
4,0.16839837,-13.338617,0.16631232,0.13673076,0.22500001,375.0
4,0.120137826,-13.316296,0.017342309,0.20400429,0.22500001,375.0
4,0.08806389,-19.349415,0.014490142,0.020582689,0.22500001,375.0
4,0.117606044,-20.25861,0.0203782,0.03998634,0.22500001,375.0
4,0.212591,-12.994881,0.10335197,0.04046255,0.22500001,375.0
4,0.32522917,-9.561216,0.26337337,0.23019332,0.22500001,375.0
4,0.39134005,-8.427723,0.21516581,0.36899918,0.22500001,375.0
4,0.37961334,-8.450356,0.10042939,0.15639317,0.25208336,343.94907
4,0.3079548,-10.031376,0.09495593,0.058649182,0.27916667,317.64706
4,0.21971919,-11.876209,0.04053332,0.057899307,0.30625,295.08197
4,0.14897813,-15.303347,0.030807475,0.033207234,0.33333334,275.51022
4,0.10337765,-17.91791,0.027557982,0.030260691,0.3604167,258.3732
4,0.071687154,-20.810688,0.01816515,0.03518784,0.38750005,243.24324
4,0.044861358,-23.13593,0.016087465,0.02633571,0.41458338,229.78723
4,0.031979714,-25.287342,0.010376894,0.02055689,0.4416667,217.74194
4,0.05573043,-26.98373,0.012450642,0.051123615,0.46875003,206.89656
4,0.12686734,-23.892944,0.028615745,0.0616584,0.49583337,197.0803
4,0.2191894,-10.599419,0.0966757,0.2083781,0.52291673,188.1533
4,0.2785278,-9.587957,0.4876479,0.30332512,0.5500001,180.0
4,0.27209792,-9.370602,0.057331115,0.42627683,0.53800005,183.52367
4,0.22145817,-11.811708,0.020995669,0.05567449,0.526,187.18802
4,0.17231111,-15.652868,0.052771788,0.023451215,0.51400006,191.0017
4,0.1505936,-15.937471,0.071897015,0.076392025,0.50200003,194.97401
4,0.15284239,-16.258095,0.041450903,0.118182465,0.49000004,199.11504
4,0.16038612,-15.87369,0.046175558,0.038738344,0.47800002,203.43582
4,0.15530457,-16.138956,0.10862087,0.07089366,0.46600005,207.94824
4,0.13178027,-16.702147,0.027683841,0.18661743,0.45400006,212.6654
4,0.098258495,-19.4777,0.018635996,0.04125098,0.44200003,217.60156
4,0.06930226,-22.007336,0.018786024,0.030141508,0.43000004,222.77228
4,0.05563135,-24.275127,0.013492638,0.041907586,0.41800007,228.19472
4,0.059917282,-24.232944,0.024130695,0.02353057,0.40600002,233.88774
4,0.07863665,-21.152367,0.03332638,0.065073684,0.39400005,239.87207
4,0.106576174,-18.581158,0.08414122,0.07898611,0.382,246.17068
4,0.14138831,-16.288599,0.08424695,0.21679233,0.37000003,252.80899
4,0.18374836,-14.762554,0.060163476,0.15142544,0.35800004,259.81525
4,0.22641553,-14.311108,0.07112788,0.088451006,0.34600002,267.2209
4,0.24464129,-12.22455,0.11262904,0.13889062,0.33400002,275.06113
4,0.21192563,-12.373695,0.16871957,0.16160849,0.322,283.37534
4,0.13449128,-13.455271,0.022940472,0.14129342,0.31,292.2078
4,0.064070344,-19.29353,0.014039354,0.031436957,0.29800004,301.60858
4,0.06959455,-21.933075,0.01399159,0.02590548,0.28599998,311.63437
4,0.18597367,-16.507399,0.030157614,0.015883215,0.27400002,322.34955
4,0.37330627,-8.509895,0.2357028,0.09521593,0.26200002,333.82788
4,0.5291039,-5.6644154,0.39743108,0.44237417,0.25,346.15384
4,0.5647778,-5.314434,0.29342887,0.30725497,0.2365385,361.1111
4,0.4771403,-5.6108265,0.08542247,0.221782,0.22307695,377.41934
4,0.33580825,-8.340126,0.1732829,0.025306467,0.2096154,395.2703
4,0.2147658,-10.281824,0.033568796,0.030421885,0.19615385,414.89362
4,0.14462496,-15.095381,0.033741493,0.03239378,0.18269232,436.56717
4,0.1123604,-17.30027,0.025394721,0.018922305,0.16923079,460.6299
4,0.090153016,-19.758953,0.024994051,0.024703277,0.15576924,487.5
4,0.06451387,-21.984158,0.017804697,0.057135068,0.14230771,517.6991
4,0.049565505,-21.021671,0.027859157,0.052625947,0.12884617,551.8868
4,0.07729647,-21.581963,0.072510175,0.08348824,0.11538463,590.90906
